zip_code,city,latitude,longitude,total_results
11375,Forest Hills,40.72205,-73.849351,7
11375,Forest Hills,40.710752,-73.851417,7
11375,Forest Hills,40.715319,-73.830563,7
11375,Forest Hills,40.718455,-73.83651,7
11377,Woodside,40.7464805,-73.8922584,5
11377,Woodside,40.753602,-73.899789,5
11377,Woodside,40.753601,-73.899806,5
11377,Woodside,40.753602,-73.899825,5
11377,Woodside,40.75294433775417,-73.90461632141067,5
11378,Maspeth,40.726232,-73.895705,1
11379,Middle Village,40.711327,-73.89229,3
11379,Middle Village,40.711273,-73.89222,3
11379,Middle Village,40.711266,-73.89218,3
11385,Glendale,40.707998,-73.866983,1
11413,Jamaica,40.651931,-73.758355,2
11413,Jamaica,40.677402,-73.745064,2
11415,Kew Gardens,40.7119045,-73.8267727,3
11415,Kew Gardens,40.713705,-73.831217,3
11415,Queens,40.714376,-73.826095,3
11417,Ozone Park,40.68106,-73.84554,2
11417,Ozone Park,40.68106,-73.84554,2
11423,Hollis,40.718731,-73.773113,1
11432,Jamaica,40.705133,-73.801443,1
11433,Queens,40.701647,-73.803843,6
11433,JAMAICA,40.70522,-73.79147,6
11433,Jamaica,40.70525,-73.791534,6
11433,Jamaica,40.70524,-73.791466,6
11433,JAMAICA,40.705254,-73.7915,6
11433,Jamaica,40.70568,-73.791504,6
11691,Queens,40.592503,-73.762802,2
11691,Queens,40.592562,-73.762059,2
11692,Queens,40.5898135,-73.7999495,1
11694,Rockaway Park,40.581587,-73.830086,3
11694,Far Rockaway,40.5815,-73.8388,3
11694,Far Rockaway,40.58309,-73.82213,3
11201,Brooklyn,40.693999,-73.983809,23
11201,Brooklyn,40.696848,-73.983071,23
11201,Brooklyn,40.695115,-73.990993,23
11201,Brooklyn,40.694841,-73.982849,23
11201,Brooklyn,40.69306,-73.987222,23
11201,Brooklyn,40.692579,-73.985252,23
11201,Brooklyn,40.691469,-73.985446,23
11201,Brooklyn,40.692941,-74.000298,23
11201,Brooklyn,40.692062,-73.99816,23
11201,Brooklyn,40.702882,-73.990594,23
11203,Brooklyn,40.65601,-73.940902,5
11203,Brooklyn,40.656102,-73.940436,5
11203,Brooklyn,40.654476,-73.946741,5
11203,Brooklyn,40.656148,-73.940355,5
11203,Brooklyn,40.66,-73.94,5
11204,Brooklyn,40.626403,-73.977822,1
11205,Brooklyn,40.692635,-73.969935,4
11205,Brooklyn,40.700302,-73.972272,4
11205,Brooklyn,40.705481,-73.972208,4
11205,Brooklyn,40.6986246,-73.9786207,4
11206,Brooklyn,40.69933379421704,-73.94966479629517,3
11206,Brooklyn,40.700039,-73.941261,3
11206,Brooklyn,40.7012,-73.9357,3
11207,Brooklyn,40.653468,-73.886256,1
11208,Brooklyn,40.661038,-73.864438,1
11209,Brooklyn,40.621698,-74.02567,3
11209,Brooklyn,40.619335,-74.029466,3
11209,Brooklyn,40.61517985216326,-74.0319846196921,3
11210,Brooklyn,40.618364,-73.945066,2
11210,Brooklyn,40.618355,-73.945087,2
11211,Brooklyn,40.718037,-73.932309,13
11211,Greenpoint,40.718053,-73.931508,13
11211,Brooklyn,40.719338,-73.963081,13
11211,Brooklyn,40.715033,-73.958595,13
11211,Brooklyn,40.719751,-73.954866,13
11211,Brooklyn,40.711729,-73.967698,13
11211,Brooklyn,40.718054,-73.951847,13
11211,Greenpoint,40.718053,-73.931508,13
11211,Brooklyn,40.709168,-73.968491,13
11211,Brooklyn,40.714318,-73.953186,13
11212,Brooklyn,40.654381,-73.913436,1
11213,Brooklyn,40.674612,-73.944569,11
11213,Brooklyn,40.673563,-73.926284,11
11213,Brooklyn,40.673561,-73.926135,11
11213,Brooklyn,40.673561,-73.926143,11
11213,Brooklyn,40.673237,-73.925718,11
11213,Brooklyn,40.673186,-73.925637,11
11213,Brooklyn,40.673563,-73.926362,11
11213,Brooklyn,40.673181,-73.926415,11
11213,Brooklyn,40.673233,-73.925648,11
11213,Brooklyn,40.6732,-73.925696,11
11215,Brooklyn,40.672884,-73.971541,10
11215,Brooklyn,40.6685202,-73.9904888,10
11215,Brooklyn,40.6732353,-73.9862323,10
11215,Brooklyn,40.674312,-73.98488,10
11215,Brooklyn,40.66696,-73.975032,10
11215,Brooklyn,40.6567801,-73.9777597,10
11215,Brooklyn,40.668517,-73.983283,10
11215,Brooklyn,40.667017,-73.988698,10
11215,Brooklyn,40.656459,-73.977527,10
11215,Brooklyn,40.668552,-73.97869,10
11216,Brooklyn,40.680168,-73.946022,1
11217,Brooklyn,40.689457,-73.978606,10
11217,Brooklyn,40.688086,-73.979234,10
11217,Brooklyn,40.6832871,-73.9735893,10
11217,Brooklyn,40.683715,-73.974337,10
11217,Brooklyn,40.686983,-73.980498,10
11217,Brooklyn,40.687913,-73.983039,10
11217,Brooklyn,40.683126,-73.982088,10
11217,Brooklyn,40.681151,-73.982101,10
11217,Brooklyn,40.681263,-73.981155,10
11217,Brooklyn,40.68608,-73.978252,10
11219,Borough Park,40.638583,-73.998687,11
11219,Borough Park,40.638561,-73.998686,11
11219,Borough Park,40.63855,-73.998668,11
11219,Borough Park,40.638531,-73.99858,11
11219,Borough Park,40.638557,-73.998678,11
11219,Borough Park,40.638536,-73.99864,11
11219,Borough Park,40.638581,-73.998691,11
11219,Borough Park,40.63851,-73.998605,11
11219,Borough Park,40.638594,-73.998676,11
11219,Borough Park,40.638545,-73.998658,11
11220,Brooklyn,40.636324,-74.019228,2
11220,Sunset Park,40.63557,-74.01628,2
11221,Brooklyn,40.698707,-73.992365,1
11222,Brooklyn,40.736562,-73.959195,2
11222,Brooklyn,40.724591,-73.954512,2
11224,Brooklyn,40.57891694756012,-73.97537047469709,3
11224,Brooklyn,40.581652,-73.985056,3
11224,Brooklyn,40.57978,-73.97439,3
11225,Brooklyn,40.669936,-73.963069,1
11230,Brooklyn,40.628872,-73.971992,1
11231,Brooklyn,40.677412,-73.990986,7
11231,Brooklyn,40.6781552,-73.9904425,7
11231,Brooklyn,40.680484,-73.996719,7
11231,Red Hook,40.671397,-74.011643,7
11231,Red Hook,40.671379,-74.011649,7
11231,Red Hook,40.671393,-74.011584,7
11231,Red Hook,40.671404,-74.011655,7
11232,Brooklyn,40.6529,-74.0023,5
11232,Brooklyn,40.659333,-74.006419,5
11232,Brooklyn,40.656766,-74.004802,5
11232,Brooklyn,40.649116,-74.006479,5
11232,Brooklyn,40.659338,-74.006454,5
11233,Brooklyn,40.679727,-73.931347,1
11235,Brooklyn,40.589167,-73.960707,2
11235,Brooklyn,40.589167,-73.960707,2
11236,Brooklyn,40.64554,-73.918344,2
11236,Brooklyn,40.64554,-73.918344,2
11237,Brooklyn,40.69604,-73.90662,1
11238,Brooklyn,40.6775259,-73.9657852,11
11238,Brooklyn,40.682964,-73.96582,11
11238,Brooklyn,40.681953,-73.964405,11
11238,Brooklyn,40.68092,-73.97076,11
11238,Brooklyn,40.675159,-73.958501,11
11238,Brooklyn,40.684979,-73.967922,11
11238,Brooklyn,40.682176,-73.96585,11
11238,Brooklyn,40.681764,-73.965799,11
11238,Brooklyn,40.682163,-73.966003,11
11238,Brooklyn,40.682187,-73.965853,11
11239,Brooklyn,40.657441,-73.874619,1
10301,Staten Island,40.639469,-74.076912,2
10301,Staten Island,40.644065,-74.075153,2
10303,Staten Island,40.630898,-74.168358,1
10305,Staten Island,40.588091,-74.089936,8
10305,Staten Island,40.584709,-74.086124,8
10305,Midland Beach,40.572636,-74.08616,8
10305,Midland Beach,40.572636,-74.08614,8
10305,South Beach,40.58297,-74.07527,8
10305,South Beach,40.582787,-74.07527,8
10305,New York,40.584984,-74.088044,8
10305,Staten Island,40.59751067999147,-74.0836837458115,8
10306,Staten Island,40.581432,-74.097694,2
10306,Staten Island,40.569063603,-74.109547715,2
10307,Staten Island,40.513465,-74.251418,1
10309,New York City,40.527543,-74.23131,2
10309,Staten Island,40.516758,-74.196379,2
10310,Staten Island,40.629216,-74.111537,1
10314,Staten Island,40.587162,-74.194747,20
10314,Staten Island,40.58269775,-74.1678755,20
10314,Staten Island,40.5817345,-74.1684335,20
10314,Staten Island,40.5811275,-74.1679225,20
10314,Staten Island,40.583139,-74.166332,20
10314,Staten Island,40.612696,-74.179012,20
10314,Staten Island,40.612678,-74.178885,20
10314,Staten Island,40.612688,-74.178948,20
10314,Staten Island,40.612671,-74.17882,20
10314,Staten Island,40.612706,-74.179076,20
